Gene,CellType,Hap1_ASE,Hap2_ASE,ASE_Total,Full_H1,Full_H2,Full_Total,Pct_Informative
SNCA,iPSC,33,32,65,857,2864,3721,1.74
SNCA,FPP,54,52,106,1220,2438,3658,2.89
SNCA,astrocyte,23,56,79,1181,3786,4967,1.59
SNCA,microglia,162,154,316,3093,5338,8431,3.74
HTT,iPSC,82,45,127,6743,6729,13472,.94
HTT,FPP,58,53,111,9290,9287,18577,.59
HTT,astrocyte,76,53,129,6342,6325,12667,1.01
HTT,microglia,136,88,224,11480,11450,22930,.97
LRRK2,iPSC,0,0,0,36,34,70,0
LRRK2,FPP,99,120,219,1942,1935,3877,5.64
LRRK2,astrocyte,5,12,17,152,152,304,5.59
LRRK2,microglia,74,92,166,1732,1725,3457,4.80
GBA1,iPSC,0,2,2,237,227,464,.43
GBA1,FPP,2,0,2,720,691,1411,.14
GBA1,astrocyte,1,1,2,811,839,1650,.12
GBA1,microglia,1,0,1,587,592,1179,.08
SMN1,iPSC,22,5,27,5697,11023,16720,.16
SMN1,FPP,23,9,32,3530,6632,10162,.31
SMN1,astrocyte,24,11,35,5451,10368,15819,.22
SMN1,microglia,15,3,18,2093,4090,6183,.29
SMN2,iPSC,323,0,323,5409,0,5409,5.97
SMN2,FPP,143,0,143,3201,0,3201,4.46
SMN2,astrocyte,285,0,285,5023,0,5023,5.67
SMN2,microglia,88,0,88,2088,0,2088,4.21
